3:57,Trois heures cinquante sept,Trois heures cinquante sept minutes,Quatre heures moins trois
3:58,Trois heures cinquante huit,Trois heures cinquante huit minutes,Quatre heures moins deux
3:59,Trois heures cinquante neuf,Trois heures cinquante neuf minutes,Quatre heures moins une
4:00,Quatre heures  ,Quatre heures,Quatre heures pile,Quatre heures du matin
4:01,Quatre heures une ,Quatre heures une minute
4:02,Quatre heures deux ,Quatre heures deux minutes
4:03,Quatre heures trois ,Quatre heures trois minutes
4:04,Quatre heures quatre ,Quatre heures quatre minutes
4:05,Quatre heures cinq ,Quatre heures cinq minutes
4:06,Quatre heures six ,Quatre heures six minutes
4:07,Quatre heures sept ,Quatre heures sept minutes
4:08,Quatre heures huit ,Quatre heures huit minutes
4:09,Quatre heures neuf ,Quatre heures neuf minutes
4:10,Quatre heures dix ,Quatre heures dix minutes
4:11,Quatre heures onze ,Quatre heures onze minutes
4:12,Quatre heures douze ,Quatre heures douze minutes
4:13,Quatre heures treize ,Quatre heures treize minutes
4:14,Quatre heures quatorze ,Quatre heures quatorze minutes
4:15,Quatre heures quinze ,Quatre heures quinze minutes,Quatre heures et quart
4:16,Quatre heures seize ,Quatre heures seize minutes
4:17,Quatre heures dix-sept ,Quatre heures dix-sept minutes
4:18,Quatre heures dix-huit ,Quatre heures dix-huit minutes
4:19,Quatre heures dix-neuf ,Quatre heures dix-neuf minutes
4:20,Quatre heures vingt ,Quatre heures vingt minutes
4:21,Quatre heures vingt et une,Quatre heures vingt et une minutes
4:22,Quatre heures vingt deux,Quatre heures vingt deux minutes
4:23,Quatre heures vingt trois,Quatre heures vingt trois minutes
4:24,Quatre heures vingt quatre,Quatre heures vingt quatre minutes
4:25,Quatre heures vingt cinq,Quatre heures vingt cinq minutes
4:26,Quatre heures vingt six,Quatre heures vingt six minutes
4:27,Quatre heures vingt sept,Quatre heures vingt sept minutes
4:28,Quatre heures vingt huit,Quatre heures vingt huit minutes
4:29,Quatre heures vingt neuf,Quatre heures vingt neuf minutes
4:30,Quatre heures trente ,Quatre heures trente minutes,Quatre heures et demie
4:31,Quatre heures trente et une,Quatre heures trente et une minutes
4:32,Quatre heures trente deux,Quatre heures trente deux minutes
4:33,Quatre heures trente trois,Quatre heures trente trois minutes
4:34,Quatre heures trente quatre,Quatre heures trente quatre minutes
4:35,Quatre heures trente cinq,Quatre heures trente cinq minutes,Cinq heures moins vingt-cinq
4:36,Quatre heures trente six,Quatre heures trente six minutes
4:37,Quatre heures trente sept,Quatre heures trente sept minutes
4:38,Quatre heures trente huit,Quatre heures trente huit minutes
4:39,Quatre heures trente neuf,Quatre heures trente neuf minutes
4:40,Quatre heures quarante ,Quatre heures quarante minutes,Cinq heures moins vingt
4:41,Quatre heures quarante et une,Quatre heures quarante et une minutes
4:42,Quatre heures quarante deux,Quatre heures quarante deux minutes
4:43,Quatre heures quarante trois,Quatre heures quarante trois minutes
4:44,Quatre heures quarante quatre,Quatre heures quarante quatre minutes
4:45,Quatre heures quarante cinq,Quatre heures quarante cinq minutes,Cinq heures moins le quart
4:46,Quatre heures quarante six,Quatre heures quarante six minutes
4:47,Quatre heures quarante sept,Quatre heures quarante sept minutes
4:48,Quatre heures quarante huit,Quatre heures quarante huit minutes
4:49,Quatre heures quarante neuf,Quatre heures quarante neuf minutes
4:50,Quatre heures cinquante ,Quatre heures cinquante minutes,Cinq heures moins dix
4:51,Quatre heures cinquante et une,Quatre heures cinquante et une minutes,Cinq heures moins neuf
4:52,Quatre heures cinquante deux,Quatre heures cinquante deux minutes,Cinq heures moins huit
4:53,Quatre heures cinquante trois,Quatre heures cinquante trois minutes,Cinq heures moins sept
4:54,Quatre heures cinquante quatre,Quatre heures cinquante quatre minutes,Cinq heures moins six
4:55,Quatre heures cinquante cinq,Quatre heures cinquante cinq minutes,Cinq heures moins cinq
4:56,Quatre heures cinquante six,Quatre heures cinquante six minutes,Cinq heures moins quatre
4:57,Quatre heures cinquante sept,Quatre heures cinquante sept minutes,Cinq heures moins trois
4:58,Quatre heures cinquante huit,Quatre heures cinquante huit minutes,Cinq heures moins deux
4:59,Quatre heures cinquante neuf,Quatre heures cinquante neuf minutes,Cinq heures moins une
5:00,Cinq heures  ,Cinq heures,Cinq heures pile,Cinq heures du matin
5:01,Cinq heures une ,Cinq heures une minute
5:02,Cinq heures deux ,Cinq heures deux minutes
5:03,Cinq heures trois ,Cinq heures trois minutes
5:04,Cinq heures quatre ,Cinq heures quatre minutes
5:05,Cinq heures cinq ,Cinq heures cinq minutes
5:06,Cinq heures six ,Cinq heures six minutes
5:07,Cinq heures sept ,Cinq heures sept minutes
5:08,Cinq heures huit ,Cinq heures huit minutes
5:09,Cinq heures neuf ,Cinq heures neuf minutes
5:10,Cinq heures dix ,Cinq heures dix minutes
5:11,Cinq heures onze ,Cinq heures onze minutes
5:12,Cinq heures douze ,Cinq heures douze minutes
5:13,Cinq heures treize ,Cinq heures treize minutes
5:14,Cinq heures quatorze ,Cinq heures quatorze minutes
5:15,Cinq heures quinze ,Cinq heures quinze minutes,Cinq heures et quart
5:16,Cinq heures seize ,Cinq heures seize minutes
5:17,Cinq heures dix-sept ,Cinq heures dix-sept minutes
5:18,Cinq heures dix-huit ,Cinq heures dix-huit minutes
5:19,Cinq heures dix-neuf ,Cinq heures dix-neuf minutes
5:20,Cinq heures vingt ,Cinq heures vingt minutes
5:21,Cinq heures vingt et une,Cinq heures vingt et une minutes
5:22,Cinq heures vingt deux,Cinq heures vingt deux minutes
5:23,Cinq heures vingt trois,Cinq heures vingt trois minutes
5:24,Cinq heures vingt quatre,Cinq heures vingt quatre minutes
5:25,Cinq heures vingt cinq,Cinq heures vingt cinq minutes
5:26,Cinq heures vingt six,Cinq heures vingt six minutes
5:27,Cinq heures vingt sept,Cinq heures vingt sept minutes
5:28,Cinq heures vingt huit,Cinq heures vingt huit minutes
5:29,Cinq heures vingt neuf,Cinq heures vingt neuf minutes
5:30,Cinq heures trente ,Cinq heures trente minutes,Cinq heures et demie
5:31,Cinq heures trente et une,Cinq heures trente et une minutes
5:32,Cinq heures trente deux,Cinq heures trente deux minutes
5:33,Cinq heures trente trois,Cinq heures trente trois minutes
5:34,Cinq heures trente quatre,Cinq heures trente quatre minutes
5:35,Cinq heures trente cinq,Cinq heures trente cinq minutes,Six heures moins vingt-cinq
5:36,Cinq heures trente six,Cinq heures trente six minutes
5:37,Cinq heures trente sept,Cinq heures trente sept minutes
5:38,Cinq heures trente huit,Cinq heures trente huit minutes
5:39,Cinq heures trente neuf,Cinq heures trente neuf minutes
5:40,Cinq heures quarante ,Cinq heures quarante minutes,Six heures moins vingt
5:41,Cinq heures quarante et une,Cinq heures quarante et une minutes
5:42,Cinq heures quarante deux,Cinq heures quarante deux minutes
5:43,Cinq heures quarante trois,Cinq heures quarante trois minutes
5:44,Cinq heures quarante quatre,Cinq heures quarante quatre minutes
5:45,Cinq heures quarante cinq,Cinq heures quarante cinq minutes,Six heures moins le quart
5:46,Cinq heures quarante six,Cinq heures quarante six minutes
5:47,Cinq heures quarante sept,Cinq heures quarante sept minutes
5:48,Cinq heures quarante huit,Cinq heures quarante huit minutes
5:49,Cinq heures quarante neuf,Cinq heures quarante neuf minutes
5:50,Cinq heures cinquante ,Cinq heures cinquante minutes,Six heures moins dix
5:51,Cinq heures cinquante et une,Cinq heures cinquante et une minutes,Six heures moins neuf
5:52,Cinq heures cinquante deux,Cinq heures cinquante deux minutes,Six heures moins huit
5:53,Cinq heures cinquante trois,Cinq heures cinquante trois minutes,Six heures moins sept
5:54,Cinq heures cinquante quatre,Cinq heures cinquante quatre minutes,Six heures moins six
